@RELATION 'Classifier input'
%initialNumberOfUsedRawTimeWindows=8614
%finalNumberOfUsedRawTimeWindows=8614
%initalNumberOfFeatureMatrixEntries=111982
%finalNumberOfFeatureMatrixEntries=111982
%finalNumberOfFeatureVectorEntries=26


@ATTRIBUTE 'Mean_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE Unit {milliseconds,samples}
@ATTRIBUTE Start NUMERIC
@ATTRIBUTE End NUMERIC

@DATA
-237.63668154613944,69381.70248865485,-6.038743851998146,18.499061046717337,-7.901721955172092,30.792358317796428,-3.6097299571600088,5.741009374526605,-4.184258802737447,7.335722001130521,3.2146771859141943,14.24081235742989,0.26176788601930917,3.965203896846001,0.6780877322457599,3.062611474880271,-1.2292748949530075,2.3139811342644045,-1.0603693146990862,2.0781481941922166,-0.8038719300163462,1.9164117944825354,1.5523644597441515,1.759801990605958,-0.047789802292709876,1.546117267610502,milliseconds,0.0,5000.0
-116.48679098953693,678.472369769786,-2.878323192747916,33.90668361076053,-6.551324445125881,31.38705798113708,-2.680404488788932,7.433125880980414,-4.808155886895279,5.914748741930904,1.699857498072638,16.386893287839364,-0.7756842275055553,3.9298191568778655,-0.11231965124175051,3.9299573573191187,-1.7750671698467952,2.315866887585569,-1.5448800069162272,2.2741602868408064,-1.161156397863444,1.7505222704491503,1.3503758168253102,1.6033783381082702,0.45592634869356474,1.4856811615057366,milliseconds,2500.0,7500.0
-99.37464055981478,393.32488614377377,-0.26998084212592594,11.094181617533135,-4.7517113794082855,13.673901448042303,-2.5240782819345786,7.7055559973132075,-4.517643455876295,4.599318852670562,-1.2480069237047229,12.98428586365641,-1.8629780891636576,4.730429818547086,-1.6517462284329198,2.4669212347338183,-2.4091179689270783,2.274749461963351,-2.2318708251405566,2.3216242321346328,-1.6705902041577763,1.9222002251649162,0.7414717992882266,1.9395806751599596,0.7798080999721759,1.206056464650742,milliseconds,5000.0,10000.0
-95.98161372133637,429.40804422809333,-0.16894986780161247,10.899592003980082,-5.294618172947233,11.405590173854883,-2.621595545026083,10.630100838923848,-4.36440363887751,5.737820852973593,-2.025362394538567,9.769274634901803,-2.133167648095299,4.89839181878975,-1.9543524572009785,2.7166295882502394,-2.433640246614333,2.4979771845412495,-2.4417395070336867,2.397584829764793,-1.6400224731687096,2.0073427786640843,0.39371394359027184,1.601584296627441,0.8951466431573318,1.3387258394932606,milliseconds,7500.0,12500.0
-92.49208701486116,395.74783770119416,2.34874887940426,15.988380659881553,-3.1430396139923595,13.249108416996616,-1.5975772948302318,12.522279468917775,-3.1291753450894153,8.480941769334944,-1.2209274957470788,7.765561412757752,-1.6251959774242122,4.741466545822747,-1.468425254835,3.092865875868808,-2.146199521801805,2.891238578956037,-2.3637385632414345,2.579005084582195,-1.555452753937703,2.2678481413312728,0.1934394093843474,1.7878872195699118,0.6964119025873196,1.5932218320309082,milliseconds,10000.0,15000.0
-84.5598364049074,208.11304136001368,3.431640094282591,13.542107010178896,-2.670389205011387,11.895738442316146,-1.8801746658293053,10.38769873475098,-2.6458389681967285,9.225863202038427,-1.4616750963686576,6.054319559112387,-1.696953125405764,4.823162262221543,-1.1591525269987963,3.079666269643218,-2.267688161891435,3.403278079359381,-2.3979670949355563,2.3781910731954734,-1.6340672619830727,2.710660166390736,-0.3016106540711159,2.1642883589845323,0.31303306422620375,1.753861181746383,milliseconds,12500.0,17500.0
-87.45181373529952,287.9846598629166,-0.43048872436258184,36.767039566884456,-1.4299309676197227,20.85452390562793,-1.9786202190990785,7.58925481512306,-1.9084258166349313,7.789715947912643,-1.4200199263462208,6.118370000541204,-1.1270681489674426,4.173935487620448,-0.8959615101964058,2.6650546956356767,-1.8547471529467727,3.3070978459406994,-1.7387465303650818,2.645220634945555,-1.1225251146289208,2.316529941354025,0.1261629877808525,2.156855684054032,0.5081560278524884,1.5846375638465973,milliseconds,15000.0,20000.0
-86.70181025981483,277.015507643218,-1.3386343415078985,31.061592675590333,0.02889977357972232,20.588280158474777,-1.6155476390649954,6.604509811897124,-1.15653728081662,6.319660874724754,-1.3454886706470375,5.158154321860627,-0.28269669908314804,3.4331030421194417,-0.2900943958753886,2.44866373142527,-1.1388664382190277,2.273148154202776,-1.0178691552522454,2.7962505684512986,-0.7236883783246567,1.6068448463616856,0.48045882969065246,1.6271568169785997,0.5622389468350001,1.164495114478913,milliseconds,17500.0,22500.0
-81.89269699175924,160.40153013758442,1.0213645291070097,14.416268148231804,0.834732610700185,15.787401060257881,-0.9464048356562914,7.328938685928591,-0.7564211483676851,5.889760288989867,-1.1038753766979628,4.544966040330978,0.13596022777703703,3.7272851320624483,0.25495008342160186,2.378074914135337,-0.8912321291706023,1.9317743115374872,-0.48951391689207424,2.7282730491471376,-0.3490164269684721,1.6040143510853728,0.5047991994860972,1.5458066667928423,0.41279054637828705,1.1030787300228748,milliseconds,20000.0,25000.0
-82.0850871867742,163.42892797797464,1.1416780531286639,13.961658525350483,1.023185939030415,15.630062059003151,-1.0056573338950223,7.747402623021441,-0.5940515645215848,5.626434273505396,-1.1510186104727653,4.687496831018805,-0.036989320796064484,3.6050010787687885,0.3138878196392166,2.338210909995548,-0.8797414702429167,1.9420177189148145,-0.4105189288154192,2.6663386168794356,-0.4240066377322486,1.9789214300298403,0.4831059479953549,1.568087019529016,0.4795342345032258,1.1634463214191895,milliseconds,22500.0,27500.0
